"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\ObjectsPooler\BackToMyObjectsPooler.cs", "C#", 1, 0, 1, 2
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\ObjectsPooler\ObjectsPooler.cs", "C#", -17, -2, -2, -21
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Utility\UsefulFunctions\UsefulFunctions.cs", "C#", 1, 0, 2, 3
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\DepthField\DepthFieldObject.cs", "C#", 1, 0, 1, 2
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\InputData.cs", "C#", -118, -8, -31, -157
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\InputData\InputData.cs", "C#", 34, 6, 11, 51
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\InputData\PlayerInput.AxisInput.cs", "C#", 17, 0, 4, 21
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\InputData\PlayerInput.ButtonInput.cs", "C#", 22, 1, 7, 30
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\InputData\PlayerInput.DoubleTapInput.cs", "C#", 27, 1, 8, 36
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\InputData\PlayerInput.MouseInput.cs", "C#", 18, 0, 5, 23
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Player.cs", "C#", -5, 0, -2, -7
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\PlayerInput.cs", "C#", 1, 0, 0, 1
"Total", "-", -18, -2, 4, -16
