"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Editor\ColorizerWindow.cs", "C#", 28, 0, 13, 41
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Editor\GameplayManiupulationFunctions.cs", "C#", 86, 0, 22, 108
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Editor\PlayerCustomInspector.cs", "C#", 38, 5, 14, 57
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Controllers\SlowMontionController\SlowMontionController.cs", "C#", 52, 4, 16, 72
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Controllers\TransitionsController\TransitionsController.cs", "C#", 118, 11, 40, 169
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\CheatsSetter\CheatsSetter.cs", "C#", 83, 2, 25, 110
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\CloudsGenerator\CloudsGenerator.cs", "C#", 166, 22, 54, 242
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\FPSCounter\FPSCounter.cs", "C#", 41, 3, 12, 56
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\GlobalCursor\GlobalCursor.cs", "C#", 85, 1, 27, 113
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\ObjectsPooler\BackToMyObjectsPooler.cs", "C#", 13, 1, 4, 18
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\ObjectsPooler\ObjectsPooler.cs", "C#", 124, 24, 43, 191
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Prefabs\Trigger\Trigger.cs", "C#", 28, 0, 10, 38
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Utility\ReversalSetter\ReversalSetter.cs", "C#", 34, 7, 16, 57
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\MyPackages\Utility\UsefulFunctions\UsefulFunctions.cs", "C#", 104, 52, 55, 211
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Controllers\PauseMenuController.cs", "C#", 90, 3, 28, 121
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Controllers\ReviveController.cs", "C#", 131, 13, 50, 194
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Controllers\WinLoseController.cs", "C#", 99, 4, 39, 142
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\EnemiesSpawner.cs", "C#", 136, 22, 44, 202
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Enemy.cs", "C#", 45, 0, 13, 58
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Goblins\BigGoblin.cs", "C#", 99, 7, 28, 134
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Goblins\SmallGoblin.cs", "C#", 93, 8, 29, 130
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Worms System\Worm.cs", "C#", 162, 24, 51, 237
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Worms System\WormPatrolPoint.cs", "C#", 41, 9, 21, 71
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Worms System\WormSpawnPoint.cs", "C#", 27, 0, 8, 35
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Enemies\Worms System\WormsManager.cs", "C#", 142, 16, 51, 209
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\DepthField\DFExternalField.cs", "C#", 67, 16, 21, 104
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\DepthField\DFInternalField.cs", "C#", 32, 6, 8, 46
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\DepthField\DepthField.cs", "C#", 68, 19, 22, 109
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\DepthField\DepthFieldObject.cs", "C#", 43, 9, 17, 69
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Lasers\AimigMuratSpawner.cs", "C#", 117, 7, 36, 160
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Lasers\AimingMurat.cs", "C#", 107, 3, 32, 142
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Lasers\BasicMurat.cs", "C#", 83, 4, 24, 111
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Lasers\Laser.cs", "C#", 186, 20, 59, 265
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\MagicalRoad\MagicalRoad.cs", "C#", 101, 11, 40, 152
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\MagicalRoad\MagicalRoadGlyph.cs", "C#", 32, 1, 11, 44
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Meteorite\Meteorite.cs", "C#", 90, 8, 36, 134
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Meteorite\MeteoriteSpawner.cs", "C#", 95, 6, 29, 130
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\CheckPoint.cs", "C#", 24, 1, 10, 35
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\DangerPillar.cs", "C#", 51, 6, 14, 71
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\EnemyBullet.cs", "C#", 58, 2, 19, 79
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\Orb.cs", "C#", 23, 0, 9, 32
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Others\Pedestal.cs", "C#", 19, 0, 4, 23
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\PillarCage\PilarCage.cs", "C#", 439, 45, 173, 657
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\PillarCage\Pillar.cs", "C#", 58, 4, 28, 90
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\PillarCage\PillarCageCreator.cs", "C#", 61, 0, 26, 87
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\PillarCage\PillarWall.cs", "C#", 102, 10, 28, 140
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Warlock\Warlock.cs", "C#", 107, 3, 30, 140
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Items\Warlock\WarlockBullet.cs", "C#", 128, 4, 42, 174
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Managers\AudioManager.cs", "C#", 434, 7, 119, 560
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Managers\GameplayManager.cs", "C#", 488, 65, 201, 754
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Managers\StartMenuManager.cs", "C#", 91, 3, 27, 121
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Managers\UIManager.cs", "C#", 71, 1, 20, 92
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Bullets\PlayerBullet.cs", "C#", 90, 5, 26, 121
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Bullets\StrongPlayerBulet.cs", "C#", 54, 2, 27, 83
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\InputData.cs", "C#", 118, 8, 31, 157
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Others\DismemberedPlayer.cs", "C#", 26, 2, 9, 37
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Others\Echo.cs", "C#", 29, 0, 10, 39
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Player.cs", "C#", 381, 16, 138, 535
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\PlayerDashMoveCreator.cs", "C#", 167, 19, 58, 244
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\PlayerInput.cs", "C#", 66, 2, 32, 100
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\RevivingHeart\RevivingHeart.cs", "C#", 40, 3, 14, 57
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Weapon\Weapon.cs", "C#", 183, 20, 65, 268
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Weapon\WeaponCollider.cs", "C#", 17, 1, 8, 26
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Weapon\WeaponDamageField.cs", "C#", 26, 1, 7, 34
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\UI\ButtonAudioHandler.cs", "C#", 23, 2, 4, 29
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\UI\OptionsMenu.cs", "C#", 92, 1, 31, 124
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\Activator.cs", "C#", 57, 4, 17, 78
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\AssignCameraBounds.cs", "C#", 23, 1, 6, 30
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\ColorChanger.cs", "C#", 22, 2, 9, 33
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\ColorSetter.cs", "C#", 50, 4, 12, 66
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\Disable.cs", "C#", 8, 1, 2, 11
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\Disappear.cs", "C#", 35, 3, 9, 47
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\DisappearText.cs", "C#", 29, 3, 7, 39
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\GameplayTimer.cs", "C#", 48, 1, 17, 66
